slot_number,brand_id,month,content_pillar,topic,working_title,primary_service,primary_area,primary_keyword,supporting_keywords,format,platforms,offer_or_event,image_requirement,proof_requirement,claim_requirement,status,package_content_type
1,247-lockout-pasadena,2026-08,residential,House lockout preparation,What to Have Ready Before Requesting House-Lockout Help,House lockout assistance,Pasadena,Pasadena house lockout,proof of access locksmith Pasadena|Pasadena home lockout,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de una entrada residencial sin mostrar llaves de automovil,approved_profile,none,approved,image
2,247-lockout-pasadena,2026-08,residential,Door-safe lockout response,Three Door-Safe Steps During a Pasadena Home Lockout,House lockout assistance,Pasadena,Pasadena home lockout,Pasadena house lockout|deadbolt repair Pasadena,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 con puerta residencial intacta y pasos visuales sobrios,approved_profile,none,approved,video
3,247-lockout-pasadena,2026-08,trust,Access authorization,Why a Locksmith May Ask for Proof of Access,House lockout assistance,Pasadena,proof of access locksmith Pasadena,Pasadena house lockout|apartment lockout Pasadena,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con identificacion y puerta residencial sin datos personales,approved_profile,none,approved,reel
4,247-lockout-pasadena,2026-08,residential,After-hours lockout planning,A Calm Checklist for a Late-Evening Home Lockout,House lockout assistance,South Pasadena,South Pasadena home lockout,Pasadena home lockout|proof of access locksmith Pasadena,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con lista de seguridad sin afirmar disponibilidad continua,approved_profile,none,approved,image
5,247-lockout-pasadena,2026-08,residential,Residential entry process,What Professional Home-Lockout Assistance Should Protect,House lockout assistance,Pasadena,Pasadena house lockout,Pasadena home lockout|residential lock repair Pasadena,educational,website_blog,none,none,approved_profile,none,approved,blog
6,247-lockout-pasadena,2026-08,property,Condo lockout guidance,Condo Lockout Guidance for Residents and Building Staff,Apartment and condo lockout assistance,Pasadena,condo lockout Pasadena,apartment lockout Pasadena|proof of access locksmith Pasadena,service_spotlight,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 en lobby de condominio con autorizacion clara,approved_profile,none,approved,reel
7,247-lockout-pasadena,2026-08,local,Pasadena-area service boundaries,Which Pasadena-Area Communities Are Approved for This Plan,House lockout assistance,Pasadena,Pasadena home lockout,South Pasadena home lockout|Altadena house lockout,local_market,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Mapa editorial horizontal 1200x628 solo con areas aprobadas,approved_locations,none,approved,image
8,247-lockout-pasadena,2026-08,residential,Avoiding door damage,Why Forcing a Locked Residential Door Can Cost More,House lockout assistance,Altadena,Altadena house lockout,residential lock repair Pasadena|deadbolt repair Pasadena,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 con puerta sin danos y herramientas no identificables,approved_profile,none,approved,video
9,247-lockout-pasadena,2026-08,residential,Safe lockout decisions,When Not to Keep Trying a Jammed Residential Lock,House lockout assistance,Sierra Madre,Sierra Madre house lockout,deadbolt repair Pasadena|residential lock repair Pasadena,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 mostrando cerrojo trabado sin tecnicas de bypass,approved_profile,none,approved,reel
10,247-lockout-pasadena,2026-08,residential,Lockout prevention,Four Household Habits That Reduce Lockout Risk,House lockout assistance,San Marino,Pasadena home lockout|San Marino home rekeying,Pasadena house lockout,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con habitos domesticos sin promocionar duplicacion de llaves,approved_profile,none,approved,image
11,247-lockout-pasadena,2026-08,residential,Move-in rekeying,Why Pasadena Home Buyers Should Review Rekeying After a Move,New-home rekeying,Pasadena,new-home rekeying Pasadena,home rekeying Pasadena|Pasadena rental rekeying,educational,website_blog,none,none,approved_profile,none,approved,blog
12,247-lockout-pasadena,2026-08,residential,Lost house-key security,Lost House Keys: A Rekeying Decision Guide for Homeowners,Home rekeying,Arcadia,home rekeying Pasadena,Arcadia residential lock repair|new-home rekeying Pasadena,trust_process,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con propietario revisando cerradura residencial,approved_profile,none,approved,reel
13,247-lockout-pasadena,2026-08,residential,Sticking deadbolt diagnosis,Three Signs a Sticking Deadbolt Needs Professional Attention,Deadbolt installation and repair,Pasadena,deadbolt repair Pasadena,Pasadena deadbolt alignment|residential lock repair Pasadena,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de cerrojo desalineado en puerta residencial,approved_profile,none,approved,image
14,247-lockout-pasadena,2026-08,residential,Rekey versus replacement,Rekeying or Replacing a Lock: What Changes for the Homeowner,Home rekeying,South Pasadena,home rekeying Pasadena,lock replacement Pasadena|South Pasadena home lockout,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 comparando cilindro y cerradura completa sin marcas,approved_profile,none,approved,video
15,247-lockout-pasadena,2026-08,residential,Residential keypad planning,Questions to Ask Before Adding a Keypad Lock at Home,Residential lock replacement,Pasadena,lock replacement Pasadena,deadbolt repair Pasadena|home rekeying Pasadena,service_spotlight,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con teclado residencial generico y puerta completa,approved_service,none,approved,reel
16,247-lockout-pasadena,2026-08,property,Tenant and landlord roles,Apartment Lockout Responsibilities for Tenants and Landlords,Apartment and condo lockout assistance,Pasadena,apartment lockout Pasadena,Pasadena rental rekeying|proof of access locksmith Pasadena,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 dividido entre inquilino y propietario con lenguaje neutral,approved_profile,none,approved,image
17,247-lockout-pasadena,2026-08,property,Rental turnover rekeying,A Pasadena Rental-Turnover Rekeying Checklist,Property turnover rekeying,Pasadena,Pasadena rental rekeying,property rekeying Pasadena|home rekeying Pasadena,educational,website_blog,none,none,approved_profile,none,approved,blog
18,247-lockout-pasadena,2026-08,local,Rental access authorization,How Pasadena Property Contacts Can Prepare for Authorized Entry,Property turnover rekeying,Pasadena,property rekeying Pasadena,proof of access locksmith Pasadena|Pasadena rental rekeying,local_market,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con administrador y registro de autorizacion,approved_profile,none,approved,reel
