brand_id,keyword,normalized_keyword,intent,service_pillar,location,brand_owner,confidence,source,approval_status,notes
247-lockout-pasadena,Pasadena house lockout,pasadena house lockout,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,Pasadena home lockout,pasadena home lockout,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,apartment lockout Pasadena,apartment lockout pasadena,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,condo lockout Pasadena,condo lockout pasadena,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,home rekeying Pasadena,home rekeying pasadena,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,new-home rekeying Pasadena,new home rekeying pasadena,commercial,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,residential lock repair Pasadena,residential lock repair pasadena,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,deadbolt repair Pasadena,deadbolt repair pasadena,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,lock replacement Pasadena,lock replacement pasadena,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,property rekeying Pasadena,property rekeying pasadena,commercial,commercial,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,car lockout Pasadena,car lockout pasadena,transactional,automotive,Pasadena,247-lockout-pasadena,high,owner_policy,approved,Vehicle entry only
247-lockout-pasadena,South Pasadena home lockout,south pasadena home lockout,transactional,residential,South Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,Altadena house lockout,altadena house lockout,transactional,residential,Altadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,San Marino home rekeying,san marino home rekeying,commercial,residential,San Marino,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,Arcadia residential lock repair,arcadia residential lock repair,transactional,residential,Arcadia,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,Sierra Madre house lockout,sierra madre house lockout,transactional,residential,Sierra Madre,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,Pasadena rental rekeying,pasadena rental rekeying,commercial,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
